country,id,year,electricity_aid,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment,electricity_access_lag,electricity_access_improvement
Albania,ALB,2020,3.404894,100,100,100,-1019.647592,-3.302082039,14.43648504,1.620886617,76.989,-0.574206959,2.837849,-2.878003312,12.79,0.857610923,100,0
Albania,ALB,2021,3.907389,100,100,100,-1168.644883,8.908527818,16.26180455,2.041471631,76.463,-0.926918062,2.811666,-3.214804211,12.473,0.44340448,100,0
Albania,ALB,2022,22.801707,100,100,100,-1249.8485,4.856401652,19.4927831,6.725202715,76.833,-1.21579032,2.777689,-3.482671893,11.588,0.093716063,100,0
Angola,AGO,2020,1.296603,47,54.2,73.6,1956.982582,-5.638214717,6.455119982,22.27153925,62.261,3.268348405,33.428486,1.333900536,16.676,4.242778261,45.6,0.030701754
Angola,AGO,2021,0.996663,48.2,51.2,75,3297.745964,1.199210521,7.414278958,25.75429488,61.643,3.166029862,34.503774,1.233383566,15.799,4.111785847,47,0.025531915
Angola,AGO,2022,7.205441,48.5,29.008,76.2,6639.719014,3.04540301,7.928641498,21.35529013,61.929,3.096752671,35.588987,1.169889508,14.693,4.013085739,48.2,0.006224066
Antigua and Barbuda,ATG,2020,5.230476,100,100,100,-105.3827804,-18.8803992,22.15941229,0.625989707,78.841,0.592053943,0.092664,0.687849322,11.541,0.296362044,100,0
Antigua and Barbuda,ATG,2021,89.7738764,100,100,100,-305.3098355,8.191718462,25.49312955,2.062996385,78.497,0.597151595,0.093219,0.667546869,9.8508,0.379122302,100,0
Antigua and Barbuda,ATG,2022,93.202949,100,100,100,-294.8562619,9.516395644,29.71156332,7.531078346,79.236,0.581875833,0.093763,0.626473656,6.9048,0.443420768,100,0
Argentina,ARG,2020,44.390219,100,100,100,-3706.950767,-9.900484814,22.30215049,13.29919345,75.892,0.970053991,45.376763,-0.53958153,11.461,1.100415053,100,0
Argentina,ARG,2021,26.1431028,100,100,100,-5114.187942,10.71800993,26.08680236,31.36029535,75.39,0.947490959,45.808747,-0.55955889,8.736,1.075515039,100,0
Argentina,ARG,2022,2.115442,100,100,100,-13110.76393,4.95636996,29.03748912,32.74299065,76.064,0.925835474,46.23483,-0.604271965,6.805,1.053695664,100,0
Armenia,ARM,2020,37.123983,100,100,100,-85.86161924,-7.199999999,15.52346539,1.211435778,72.173,-0.533006607,2.805608,-0.788976479,12.18,-0.384383434,100,0
Armenia,ARM,2021,41.36121,100,100,99.9,-341.8514737,5.800000001,16.89907092,7.184836294,72.043,-0.522963243,2.790974,-0.845109531,10.012,-0.336768059,100,0
Armenia,ARM,2022,56.580006,100,100,100,-948.3104877,12.6,20.44509888,8.64091109,73.372,-0.377102034,2.780469,-0.766181006,8.608,-0.153477829,100,0
Azerbaijan,AZE,2020,0.290804,100,100,100,318.1262,-4.300000102,15.16357033,2.75980947,66.868,0.684365325,10.093121,-0.151513099,7.24,1.335443211,100,0
Azerbaijan,AZE,2021,26.1431028,100,100,100,1784.653,5.616451029,20.1113757,6.650299127,69.366,0.441197736,10.13775,-0.431819746,6.04,1.110980253,100,0
