RecipientName,USD_Disbursement
"Africa, regional",115.151212
Albania,3.404894
"America, regional",35.255769
Angola,1.296603
Antigua and Barbuda,5.230476
Argentina,44.390219
Armenia,37.123983
"Asia, regional",64.633528
Azerbaijan,0.290804
Bangladesh,731.188689
Belarus,0
Belize,0.012004
Benin,63.75467
Bhutan,16.073132
"Bilateral, unspecified",19.576952
Bolivia,7.949531
Bosnia and Herzegovina,37.465537
Botswana,0.026111
Brazil,6.076827
Burkina Faso,24.104447
Burundi,9.695822
Cabo Verde,1.894315
Cambodia,29.404687
Cameroon,25.734872
"Caribbean, regional",0.848629
Central African Republic,6.693219
"Central America, regional",0
"Central Asia, regional",0.525079
Chad,0
China (People's Republic of),75.281407
Colombia,3.650608
Comoros,9.093181
Congo,5.118048
Costa Rica,34.426173
Côte d'Ivoire,121.859381
Democratic Republic of the Congo,16.060561
Djibouti,4.447854
Dominica,2
Dominican Republic,6.608446
"Eastern Africa, regional",14.29885
Ecuador,322.461687
Egypt,323.884269
El Salvador,0.109742
Equatorial Guinea,0
Eritrea,0
Eswatini,4.983496
Ethiopia,115.779399
"Europe, regional",0.041733
"Far East Asia, regional",0.347477
Fiji,5.187903
Gambia,9.347576
Georgia,0.102945
Ghana,10.545926
Grenada,0.028106
Guatemala,0
Guinea,19.014572
Guinea-Bissau,14.747409
Guyana,5.078887
Haiti,3.234876
Honduras,274.162118
India,277.941853
Indonesia,162.534427
Iraq,226.604228
Jamaica,0.219285
Jordan,25.96171
Kazakhstan,12.48889
Kenya,152.468218
Kiribati,0.390567
Kosovo,7.276604
Kyrgyzstan,32.328113
Lao People's Democratic Republic,1.978482
Lebanon,0.502349
Lesotho,0.649836
Liberia,43.671271
Madagascar,22.488832
Malawi,16.404017
Malaysia,3.865348
Maldives,15.096642
Mali,14.197095
Marshall Islands,0.206999
Mauritania,38.134846
Mauritius,0
Mexico,100.21057
Micronesia,0.1391
"Middle East, regional",0.03919
Moldova,5.22584
Mongolia,1.654215
Montenegro,0
Morocco,143.109441
Mozambique,116.777004
Myanmar,125.885717
Namibia,0.046698
Nauru,0.616207
Nepal,96.908551
Nicaragua,59.611004
Niger,15.991809
Nigeria,21.756924
Niue,0.17803
North Macedonia,0.494689
"Oceania, regional",5.146085
Pakistan,56.603159
Palau,0.179035
Panama,200.483081
Papua New Guinea,1.898547
Paraguay,32.366665
Peru,0.408052
Philippines,0.583407
Rwanda,92.416442
Saint Vincent and the Grenadines,0
Samoa,0.611674
Sao Tome and Principe,0.109035
Senegal,43.020742
Serbia,34.892348
Sierra Leone,33.174798
Solomon Islands,8.909089
Somalia,6.649853
South Africa,13.675373
"South America, regional",0.091165
"South Asia, regional",0.859536
South Sudan,4.891974
"South of Sahara, regional",25.394734
"Southern Africa, regional",1.465248
Sri Lanka,131.325339
Sudan,0.158756
Syrian Arab Republic,8.234192
Tajikistan,35.07801
Tanzania,47.901706
Thailand,3.827805
Timor-Leste,0.423683
Togo,0.981315
Tonga,10.077868
Tunisia,10.728773
Turkmenistan,77.369743
Tuvalu,1.300712
Türkiye,74.046614
Uganda,21.229597
Ukraine,7.016261
Uzbekistan,158.571472
Vanuatu,6.265022
Venezuela,0.064142
Viet Nam,26.552895
West Bank and Gaza Strip,21.683317
"Western Africa, regional",15.901594
Yemen,16.424341
Zambia,11.445295
Zimbabwe,0.42239
