country,year,electricity_aid
"Africa, regional",2019,147.842102
Albania,2019,9.625792
"America, regional",2019,36.891113
Angola,2019,1.453325
Antigua and Barbuda,2019,5.728995
Argentina,2019,49.176609
Armenia,2019,87.484321
"Asia, regional",2019,64.657948
Azerbaijan,2019,0.303426
Bangladesh,2019,1246.033454
Belize,2019,0.012004
Benin,2019,83.809204
Bhutan,2019,39.993238
"Bilateral, unspecified",2019,31.546152
Bolivia,2019,27.213739
Bosnia and Herzegovina,2019,63.319806
Botswana,2019,0.174826
Brazil,2019,8.600299
Burkina Faso,2019,48.793078
Burundi,2019,22.615485
Cabo Verde,2019,5.531621
Cambodia,2019,47.730149
Cameroon,2019,68.797571
"Caribbean, regional",2019,3.252397
Central African Republic,2019,7.548917
"Central Asia, regional",2019,0.525079
China (People's Republic of),2019,115.359301
Colombia,2019,47.175842
Comoros,2019,20.47465
Congo,2019,15.403097
Costa Rica,2019,142.56733
Cuba,2019,1.061898
Côte d'Ivoire,2019,206.714308
Democratic Republic of the Congo,2019,44.871382
Djibouti,2019,20.340381
Dominica,2019,2.152094
Dominican Republic,2019,429.138626
"Eastern Africa, regional",2019,14.541089
Ecuador,2019,346.489794
Egypt,2019,741.455035
El Salvador,2019,0.149721
Eswatini,2019,4.983496
Ethiopia,2019,225.258148
"Europe, regional",2019,0.857434
"Far East Asia, regional",2019,0.861723
Fiji,2019,6.254264
Gambia,2019,14.849177
Georgia,2019,9.832424
Ghana,2019,21.083005
Grenada,2019,0.237373
Guatemala,2019,NA
Guinea,2019,50.663063
Guinea-Bissau,2019,26.804057
Guyana,2019,18.848887
Haiti,2019,7.564376
Honduras,2019,278.015273
India,2019,761.874944
Indonesia,2019,378.211015
Iran,2019,0.494505
Iraq,2019,325.94299
Jamaica,2019,0.219285
Jordan,2019,68.343891
Kazakhstan,2019,28.059394
Kenya,2019,382.799132
Kiribati,2019,1.101004
Kosovo,2019,14.29852
Kyrgyzstan,2019,63.9075
Lao People's Democratic Republic,2019,3.125974
Lebanon,2019,1.544476
Lesotho,2019,2.620642
Liberia,2019,76.674466
Libya,2019,NA
Madagascar,2019,44.318652
Malawi,2019,34.366221
Malaysia,2019,3.865348
Maldives,2019,26.841183
Mali,2019,19.465116
Marshall Islands,2019,1.673864
Mauritania,2019,136.299887
Mauritius,2019,NA
Mexico,2019,100.21057
Micronesia,2019,0.1391
"Middle East, regional",2019,0.088532
Moldova,2019,11.729814
Mongolia,2019,2.233911
Morocco,2019,182.357841
Mozambique,2019,246.686128
Myanmar,2019,129.807376
Namibia,2019,0.08249
Nauru,2019,5.126355
Nepal,2019,180.065101
Nicaragua,2019,82.646967
Niger,2019,29.137804
Nigeria,2019,34.559005
Niue,2019,1.029668
