country,id,year,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Afghanistan,AFG,2019,97.7,97.1,99.5,2.916492929,3.911603416,2.589410396,2.302372515,63.565,2.908529093,37.769499,2.56029651,11.224,3.919286985
Afghanistan,AFG,2020,97.7,97.1,99.5,24.25833011,-2.351100672,2.568341909,,62.575,3.134746908,38.97223,2.767723855,11.71,4.185357062
Afghanistan,AFG,2021,97.7,97.1,99.5,,-20.73883937,2.138870247,,61.982,2.851357654,40.099462,2.461274744,11.934,3.951857289
Afghanistan,AFG,2022,85.3,81.7,95.9,,-6.240171992,2.092879952,,62.879,2.534498317,41.128771,2.123806465,14.1,3.675647413
Africa Eastern and Southern,AFE,2019,44.38125944,29.13791374,72.63015819,,2.189259284,3.783518751,4.653664731,63.75567792,2.691134381,667.242986,1.908915618,7.24466988,4.090983086
Africa Eastern and Southern,AFE,2020,46.26487456,31.00104944,74.12741887,,-2.780378552,3.666871961,5.405162079,63.31386033,2.678183716,685.112979,1.884605855,7.661161099,4.068589242
Africa Eastern and Southern,AFE,2021,48.10086213,32.77790964,75.5667024,,4.497379983,3.967400629,7.240977656,62.45458965,2.607471694,702.977106,1.80281703,7.964493094,3.987698242
Africa Eastern and Southern,AFE,2022,48.71199459,33.74790671,75.92212146,,3.554422329,4.294025281,10.77375122,62.89903065,2.543756525,720.859132,1.723327105,7.448221786,3.92147315
Africa Western and Central,AFW,2019,51.16808266,26.26767911,82.65014624,,3.222028518,4.525091244,1.760111512,57.55579555,2.633982069,454.306063,1.468204584,4.247943939,3.967222452
Africa Western and Central,AFW,2020,51.73089907,24.68384681,83.31286457,,-1.004417394,4.503396648,2.437608822,57.22637273,2.61564614,466.189102,1.443629165,4.697496685,3.923804232
Africa Western and Central,AFW,2021,54.22472431,25.83012134,86.59250836,,3.994854397,4.756308419,3.653532872,56.98865678,2.573377402,478.185907,1.399017818,4.524016135,3.852868204
Africa Western and Central,AFW,2022,55.43757725,25.22619836,86.68551653,,3.784485678,5.156120103,7.967573616,57.62617616,2.539799442,490.33087,1.360971987,3.737765512,3.793811081
Albania,ALB,2019,100,100,100,-1161.056359,2.087711996,14.61778491,1.41109079,79.282,-0.426007367,2.854191,-2.746066612,11.466,1.071413549
Albania,ALB,2020,100,100,100,-1019.647592,-3.302082039,14.43648504,1.620886617,76.989,-0.574206959,2.837849,-2.878003312,12.79,0.857610923
Albania,ALB,2021,100,100,100,-1168.644883,8.908527818,16.26180455,2.041471631,76.463,-0.926918062,2.811666,-3.214804211,12.473,0.44340448
