"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9241333007813","99.966064453125","99.9903564453125","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.6659556077489","53.2372492807419","55.3512352228078","56.3351742042558","56.9818353682815","58.0614250693249","58.6102680057884","60.7696044299071","58.8826812631028","61.2263829143187","62.9672127765816","65.871263161689","66.6250225876608","66.7916678655417","65.9960321578278","67.0258485359081","68.9055370724704","70.6776517919553","71.5686385303028","72.6301581860989","74.1274188681272","75.5667023966703","75.9221214578752","",
"Afghanistan","AFG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4","74.8","76.1","77.5","78.8","74","81.6","83","89.9","85.9","82.8","86.6","95","92.2","98.7","92.5","99.5","99.5","98.8","99.5","99.5","99.5","95.9","",
"Africa Western and Central","AFW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.2783242913483","76.3298096678448","76.1319446292734","73.0527166820414","72.4605357814795","73.0811624483064","72.8202701502269","71.409502459043","72.1539986357109","72.20153961536","73.245323376096","73.2200091098082","73.9153180951914","74.658717978564","76.1411568693378","75.5611126358922","75.4883043638178","74.107724961315","79.2936091587739","78.8066902960418","78.7702389518496","79.777146420516","78.2484933323022","81.5252487051787","82.4795163348205","80.1994710294193","82.6501462368864","83.3128645690173","86.5925083576009","86.6855165257732","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9","30","47.7","49","50.4","51.8","53.3","66.1","61.3","57.7","73.6","82.5","70.3","68.6","51","64","67.9","69.4","65.3","72.2","73.6","75","76.2","",
"Albania","ALB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","96.1","96.3","96.6","96.8","97.1","97.4","97.7","98","98.3","98.7","99.1","99.5","99.9","99.9","100","100","100","100","100","100","100","100","100","",
"Andorra","AND","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3752145748381","94.4009271782008","94.435833502889","94.6325883257411","94.7841966086445","94.6912975770557","95.4982452149907","95.2044113442124","94.5678782284167","95.1940763981698","96.989545930694","97.1252403659538","97.1003629498439","97.3438029782262","97.3302909750943","97.1974276177599","97.3622087510362","97.4686020429284","97.0843771287486","97.5595786042984","97.6185281724881","97.6780270162253","97.9702391306406","",
"United Arab Emirates","ARE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1390151977539","94.4131164550781","94.6866989135742","94.9571228027344","95.2212295532227","95.4758529663086","95.7178421020508","95.9440383911133","96.1512680053711","96.3380737304688","96.2","96.3","96.5","96.7","96.9","97.1","97.3","97.6","97.9","98.2","98.8","99.2","99.4","99.7","100","99.9","100","100","100","100","100","100","100","",
