RecipientName,2019_USD_disbursements,2020_USD_disbursements,USD_Disbursement_2021,2022_USD_disbursements
"Africa, regional",147.842102,115.151212,132.547737,256.319706
Albania,9.625792,3.404894,3.907389,22.801707
Algeria,0.036755,,,
"America, regional",36.891113,35.255769,30.028641,34.331235
Angola,1.453325,1.296603,0.996663,7.205441
Antigua and Barbuda,5.728995,5.230476,,
Argentina,49.176609,44.390219,,2.115442
Armenia,87.484321,37.123983,41.36121,56.580006
"Asia, regional",64.657948,64.633528,51.000169,66.196503
Azerbaijan,0.303426,0.290804,,
Bangladesh,1246.033454,731.188689,597.815758,2024.976654
Belarus,0.001725,,,
Belize,0.012004,0.012004,0.00547,3.070418
Benin,83.809204,63.75467,109.636092,292.663996
Bhutan,39.993238,16.073132,16.95264,47.723748
"Bilateral, unspecified",31.546152,19.576952,56.010515,668.339273
Bolivia,27.213739,7.949531,41.09496,95.114528
Bosnia and Herzegovina,63.319806,37.465537,26.334628,29.994626
Botswana,0.174826,0.026111,0.032309,0.136355
Brazil,8.600299,6.076827,2.530125,5.577151
Burkina Faso,48.793078,24.104447,16.374243,67.404367
Burundi,22.615485,9.695822,2.784934,15.397398
Cabo Verde,5.531621,1.894315,1.687065,3.812681
Cambodia,47.730149,29.404687,35.769327,64.363587
Cameroon,68.797571,25.734872,51.508338,263.974196
"Caribbean & Central America, regional",,,,
"Caribbean, regional",3.252397,0.848629,0.304485,0.304485
Central African Republic,7.548917,6.693219,11.683398,59.846878
"Central America, regional",,,,
"Central Asia, regional",0.525079,0.525079,3.928244,17.550514
Chad,,,,0.703734
China (People's Republic of),115.359301,75.281407,45.31842,228.98831
Colombia,47.175842,3.650608,33.048426,48.701668
Comoros,20.47465,9.093181,4.398487,10.298725
Congo,15.403097,5.118048,3.629748,3.696284
Cook Islands,0.79201,,,
Costa Rica,142.56733,34.426173,5.37352,12.09541
Cuba,1.061898,,,0.105154
Côte d'Ivoire,206.714308,121.859381,78.367452,271.074902
Democratic Republic of the Congo,44.871382,16.060561,33.12533,117.487478
Djibouti,20.340381,4.447854,3.866693,12.211619
Dominica,2.152094,2,0.3795,0.3795
Dominican Republic,429.138626,6.608446,20.765575,195.491475
"Eastern Africa, regional",14.541089,14.29885,9.959862,15.96126
Ecuador,346.489794,322.461687,47.615739,151.664493
Egypt,741.455035,323.884269,442.656678,750.238808
El Salvador,0.149721,0.109742,0.215998,0.391998
Equatorial Guinea,,,,
Eritrea,,,,
Eswatini,4.983496,4.983496,0.404104,13.389742
Ethiopia,225.258148,115.779399,101.580705,357.555273
"Europe, regional",0.857434,0.041733,3.556947,7.988517
"Far East Asia, regional",0.861723,0.347477,0.113396,0.131096
Fiji,6.254264,5.187903,0.84414,3.426662
Gambia,14.849177,9.347576,25.318156,169.831836
Georgia,9.832424,0.102945,104.565998,177.39395
Ghana,21.083005,10.545926,37.449768,78.325494
Grenada,0.237373,0.028106,,
Guatemala,,,0.122147,0.124297
Guinea,50.663063,19.014572,18.860626,230.955468
Guinea-Bissau,26.804057,14.747409,21.184122,48.049036
Guyana,18.848887,5.078887,7.138379,9.312035
Haiti,7.564376,3.234876,4.387973,9.423245
Honduras,278.015273,274.162118,44.291045,105.378029
India,761.874944,277.941853,401.641684,1199.070462
Indonesia,378.211015,162.534427,322.380941,850.358537
Iran,0.494505,,,17.480982
Iraq,325.94299,226.604228,152.828693,710.723301
Jamaica,0.219285,0.219285,2.480583,12.446611
Jordan,68.343891,25.96171,8.008392,284.727642
Kazakhstan,28.059394,12.48889,0.06582,0.06582
Kenya,382.799132,152.468218,113.820655,284.069936
Kiribati,1.101004,0.390567,4.241574,8.902548
Kosovo,14.29852,7.276604,8.612204,12.192938
Kyrgyzstan,63.9075,32.328113,47.561707,147.033057
Lao People's Democratic Republic,3.125974,1.978482,0.111118,0.111118
Lebanon,1.544476,0.502349,1.69539,21.307654
Lesotho,2.620642,0.649836,2.839676,9.204356
Liberia,76.674466,43.671271,36.783885,89.523249
Libya,,,1.019172,1.019172
Madagascar,44.318652,22.488832,14.964509,48.232717
Malawi,34.366221,16.404017,13.377243,71.414019
Malaysia,3.865348,3.865348,0.00167,0.021406
Maldives,26.841183,15.096642,3.783972,8.899786
Mali,19.465116,14.197095,8.593452,140.812508
Marshall Islands,1.673864,0.206999,,2.330374
Mauritania,136.299887,38.134846,16.348824,67.664806
Mauritius,,,0.052986,0.052986
Mexico,100.21057,100.21057,0.460391,1.831157
Micronesia,0.1391,0.1391,,
"Middle East, regional",0.088532,0.03919,0.693724,1.524774
Moldova,11.729814,5.22584,0.00412,5.658894
Mongolia,2.233911,1.654215,4.335388,30.405766
Montenegro,,,,
Morocco,182.357841,143.109441,122.021879,374.740165
Mozambique,246.686128,116.777004,152.008035,534.174349
Myanmar,129.807376,125.885717,31.42382,35.102078
Namibia,0.08249,0.046698,0.035507,0.238581
Nauru,5.126355,0.616207,0.639231,1.022815
Nepal,180.065101,96.908551,117.186254,337.031174
Nicaragua,82.646967,59.611004,18.166539,49.945337
Niger,29.137804,15.991809,30.543912,175.664546
Nigeria,34.559005,21.756924,101.163323,424.330483
Niue,1.029668,0.17803,,
