country,year,electricity_aid,id,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Albania,2019,9.625792,ALB,100,100,100,-1161.056359,2.087711996,14.61778491,1.41109079,79.282,-0.426007367,2.854191,-2.746066612,11.466,1.071413549
Albania,2020,3.404894,ALB,100,100,100,-1019.647592,-3.302082039,14.43648504,1.620886617,76.989,-0.574206959,2.837849,-2.878003312,12.79,0.857610923
Albania,2021,3.907389,ALB,100,100,100,-1168.644883,8.908527818,16.26180455,2.041471631,76.463,-0.926918062,2.811666,-3.214804211,12.473,0.44340448
Albania,2022,22.801707,ALB,100,100,100,-1249.8485,4.856401652,19.4927831,6.725202715,76.833,-1.21579032,2.777689,-3.482671893,11.588,0.093716063
Angola,2019,1.453325,AGO,45.6,,72.2,1749.052912,-0.702272958,7.533511854,17.08095414,62.448,3.395277792,32.353588,1.454033348,16.497,4.402191144
Angola,2020,1.296603,AGO,47,,73.6,1956.982582,-5.638214717,6.455119982,22.27153925,62.261,3.268348405,33.428486,1.333900536,16.676,4.242778261
Angola,2021,0.996663,AGO,48.2,,75,3297.745964,1.199210521,7.414278958,25.75429488,61.643,3.166029862,34.503774,1.233383566,15.799,4.111785847
Angola,2022,7.205441,AGO,48.5,,76.2,6639.719014,3.04540301,7.928641498,21.35529013,61.929,3.096752671,35.588987,1.169889508,14.693,4.013085739
Antigua and Barbuda,2019,5.728995,ATG,100,100,100,-141.1851082,3.10044515,26.31683322,1.431355982,78.691,0.534443401,0.092117,0.657868635,,0.155165948
Antigua and Barbuda,2020,5.230476,ATG,100,100,100,-105.3827804,-18.8803992,22.15941229,0.625989707,78.841,0.592053943,0.092664,0.687849322,,0.296362044
Antigua and Barbuda,2021,NA,ATG,100,100,100,-305.3098355,8.191718462,25.49312955,2.062996385,78.497,0.597151595,0.093219,0.667546869,,0.379122302
Antigua and Barbuda,2022,NA,ATG,100,100,100,-294.8562619,9.516395644,29.71156332,7.531078346,79.236,0.581875833,0.093763,0.626473656,,0.443420768
Argentina,2019,49.176609,ARG,100,100,100,-5126.459686,-2.000861003,23.53501275,,77.284,0.993397493,44.938712,-0.506115919,9.843,1.125019726
